                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27324,                0.32535,                      1,                0.54186,               0.070238,              0.0033069,              0.0033069
                      1,                0.26489,                0.39721,                      1,                0.53264,               0.040107,              0.0065087,              0.0065087
                      2,                0.24592,                0.56487,                      1,                0.49327,              0.0098431,              0.0095786,              0.0095786
                      3,                0.21575,                0.66866,                      1,                0.44096,               0.009406,               0.009406,               0.009406
                      4,                0.18716,                0.72255,                      1,                0.42198,               0.009406,               0.009406,               0.009406
                      5,                0.16054,                0.75649,                      1,                0.40496,               0.009208,               0.009208,               0.009208
                      6,                0.14584,                0.75249,                      1,                0.40446,                0.00901,                0.00901,                0.00901
                      7,                 0.1311,                0.78044,                      1,                0.38847,               0.008812,               0.008812,               0.008812
                      8,                0.11822,                0.79641,                      1,                0.37458,               0.008614,               0.008614,               0.008614
                      9,                0.10169,                0.73852,                      1,                0.39593,               0.008416,               0.008416,               0.008416
                     10,                0.08052,                0.76447,                      1,                0.38714,               0.008218,               0.008218,               0.008218
                     11,                0.07197,                0.77046,                      1,                0.38294,                0.00802,                0.00802,                0.00802
                     12,                0.06388,                 0.7984,                      1,                0.37305,               0.007822,               0.007822,               0.007822
                     13,                0.05276,                 0.8024,                      1,                0.36874,               0.007624,               0.007624,               0.007624
                     14,                0.04486,                0.76447,                      1,                0.37684,               0.007426,               0.007426,               0.007426
                     15,                0.03596,                 0.7984,                      1,                0.36666,               0.007228,               0.007228,               0.007228
                     16,                0.03017,                0.78643,                      1,                0.37309,                0.00703,                0.00703,                0.00703
                     17,                0.02717,                0.81637,                      1,                0.36335,               0.006832,               0.006832,               0.006832
                     18,                0.02262,                0.81637,                      1,                0.36241,               0.006634,               0.006634,               0.006634
                     19,                0.02067,                 0.8004,                      1,                0.36437,               0.006436,               0.006436,               0.006436
                     20,                 0.0167,                0.81238,                      1,                0.35942,               0.006238,               0.006238,               0.006238
                     21,                0.01583,                0.81038,                      1,                0.35812,                0.00604,                0.00604,                0.00604
                     22,                0.01419,                 0.8024,                      1,                0.36384,               0.005842,               0.005842,               0.005842
                     23,                0.01236,                 0.8004,                      1,                0.36365,               0.005644,               0.005644,               0.005644
                     24,                0.01168,                0.81038,                      1,                0.36144,               0.005446,               0.005446,               0.005446
                     25,                0.00975,                0.80439,                      1,                0.35858,               0.005248,               0.005248,               0.005248
                     26,                0.00972,                 0.8004,                      1,                0.35989,                0.00505,                0.00505,                0.00505
                     27,                0.01033,                 0.8024,                      1,                0.36051,               0.004852,               0.004852,               0.004852
                     28,                0.00955,                0.81238,                      1,                0.35833,               0.004654,               0.004654,               0.004654
                     29,                0.00911,                0.80439,                      1,                0.36047,               0.004456,               0.004456,               0.004456
                     30,                0.01102,                0.78842,                      1,                0.36983,               0.004258,               0.004258,               0.004258
                     31,                0.01283,                0.79441,                      1,                0.36537,                0.00406,                0.00406,                0.00406
                     32,                0.01008,                0.80439,                      1,                0.36186,               0.003862,               0.003862,               0.003862
                     33,                0.01044,                0.81437,                      1,                0.35889,               0.003664,               0.003664,               0.003664
                     34,                 0.0094,                0.79441,                      1,                0.36444,               0.003466,               0.003466,               0.003466
                     35,                0.01071,                0.78643,                      1,                0.37059,               0.003268,               0.003268,               0.003268
                     36,                0.01033,                0.79441,                      1,                0.36714,                0.00307,                0.00307,                0.00307
                     37,                0.00921,                0.78643,                      1,                0.36581,               0.002872,               0.002872,               0.002872
                     38,                0.00891,                0.79641,                      1,                0.36755,               0.002674,               0.002674,               0.002674
                     39,                0.00897,                0.79242,                      1,                 0.3699,               0.002476,               0.002476,               0.002476
                     40,                0.00978,                0.78443,                      1,                0.37343,               0.002278,               0.002278,               0.002278
                     41,                0.00884,                0.78842,                      1,                0.36758,                0.00208,                0.00208,                0.00208
                     42,                0.00877,                0.79042,                      1,                0.36709,               0.001882,               0.001882,               0.001882
                     43,                0.00992,                 0.7984,                      1,                0.36406,               0.001684,               0.001684,               0.001684
                     44,                0.00828,                0.80639,                      1,                0.36277,               0.001486,               0.001486,               0.001486
                     45,                0.00868,                 0.8024,                      1,                0.36196,               0.001288,               0.001288,               0.001288
                     46,                0.00845,                0.79441,                      1,                0.36542,                0.00109,                0.00109,                0.00109
                     47,                0.00859,                 0.8024,                      1,                0.36412,               0.000892,               0.000892,               0.000892
                     48,                0.00864,                0.79641,                      1,                0.36628,               0.000694,               0.000694,               0.000694
                     49,                 0.0082,                 0.7984,                      1,                0.36483,               0.000496,               0.000496,               0.000496
