                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.1528,                0.68394,                      1,                0.31058,               0.070151,              0.0033166,              0.0033166
                      1,                0.12683,                 0.7952,                      1,                0.26558,               0.039986,              0.0064853,              0.0064853
                      2,                0.11361,                0.74589,                      1,                0.28006,              0.0096566,              0.0094891,              0.0094891
                      3,                0.09924,                0.85335,                      1,                0.23409,              0.0092575,              0.0092575,              0.0092575
                      4,                0.09583,                0.85588,                      1,                0.23248,              0.0092575,              0.0092575,              0.0092575
                      5,                  0.089,                0.84324,                      1,                 0.2343,                0.00901,                0.00901,                0.00901
                      6,                0.08062,                0.86979,                      1,                0.22598,              0.0087625,              0.0087625,              0.0087625
                      7,                0.07514,                0.87105,                      1,                0.22586,               0.008515,               0.008515,               0.008515
                      8,                  0.071,                0.85209,                      1,                0.22624,              0.0082675,              0.0082675,              0.0082675
                      9,                0.06896,                0.86979,                      1,                0.21961,                0.00802,                0.00802,                0.00802
                     10,                0.05934,                0.84071,                      1,                0.23252,              0.0077725,              0.0077725,              0.0077725
                     11,                0.05156,                0.85209,                      1,                0.22837,               0.007525,               0.007525,               0.007525
                     12,                 0.0488,                0.84703,                      1,                0.22448,              0.0072775,              0.0072775,              0.0072775
                     13,                0.03455,                0.83312,                      1,                0.23483,                0.00703,                0.00703,                0.00703
                     14,                0.03156,                 0.8445,                      1,                0.22668,              0.0067825,              0.0067825,              0.0067825
                     15,                0.03103,                 0.8622,                      1,                0.21989,               0.006535,               0.006535,               0.006535
                     16,                0.02022,                0.84071,                      1,                0.22828,              0.0062875,              0.0062875,              0.0062875
                     17,                0.01745,                0.85082,                      1,                0.22662,                0.00604,                0.00604,                0.00604
                     18,                  0.019,                0.83692,                      1,                0.22736,              0.0057925,              0.0057925,              0.0057925
                     19,                 0.0119,                0.84576,                      1,                0.22637,               0.005545,               0.005545,               0.005545
                     20,                0.00907,                0.85461,                      1,                0.22398,              0.0052975,              0.0052975,              0.0052975
                     21,                0.00849,                0.84956,                      1,                0.22431,                0.00505,                0.00505,                0.00505
                     22,                0.00607,                0.84829,                      1,                0.22659,              0.0048025,              0.0048025,              0.0048025
                     23,                0.00471,                0.84576,                      1,                0.22799,               0.004555,               0.004555,               0.004555
                     24,                0.00236,                0.85967,                      1,                 0.2213,              0.0043075,              0.0043075,              0.0043075
                     25,                0.00259,                0.85841,                      1,                0.22088,                0.00406,                0.00406,                0.00406
                     26,                 0.0025,                0.85967,                      1,                0.22487,              0.0038125,              0.0038125,              0.0038125
                     27,                0.00216,                0.86852,                      1,                0.21925,               0.003565,               0.003565,               0.003565
                     28,                0.00109,                0.86599,                      1,                0.22189,              0.0033175,              0.0033175,              0.0033175
                     29,                0.00053,                0.86599,                      1,                0.21709,                0.00307,                0.00307,                0.00307
                     30,                0.00044,                0.85967,                      1,                0.21973,              0.0028225,              0.0028225,              0.0028225
                     31,                0.00068,                0.86094,                      1,                0.22006,               0.002575,               0.002575,               0.002575
                     32,                0.00048,                0.86094,                      1,                0.21884,              0.0023275,              0.0023275,              0.0023275
                     33,                0.00027,                0.86473,                      1,                0.21886,                0.00208,                0.00208,                0.00208
                     34,                0.00023,                0.86726,                      1,                0.21821,              0.0018325,              0.0018325,              0.0018325
                     35,                0.00036,                0.85841,                      1,                0.21932,               0.001585,               0.001585,               0.001585
                     36,                0.00027,                0.86473,                      1,                0.21847,              0.0013375,              0.0013375,              0.0013375
                     37,                0.00015,                0.86094,                      1,                0.21839,                0.00109,                0.00109,                0.00109
                     38,                0.00018,                 0.8622,                      1,                0.21762,              0.0008425,              0.0008425,              0.0008425
                     39,                0.00015,                0.86599,                      1,                0.21854,               0.000595,               0.000595,               0.000595
