                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.48686,                0.19286,                0.75714,                0.84965,                0.07037,              0.0032922,              0.0032922
                      1,                0.48539,                0.20714,                0.83571,                0.84256,               0.040108,              0.0063631,              0.0063631
                      2,                0.45924,                0.27143,                0.89286,                0.81948,              0.0095816,              0.0091701,              0.0091701
                      3,                0.42597,                0.32857,                0.91429,                0.80626,               0.008812,               0.008812,               0.008812
                      4,                0.37146,                0.37143,                0.88571,                0.79288,               0.008812,               0.008812,               0.008812
                      5,                0.33242,                0.49286,                0.94286,                0.74741,               0.008416,               0.008416,               0.008416
                      6,                0.27678,                0.41429,                0.91429,                0.76936,                0.00802,                0.00802,                0.00802
                      7,                0.23411,                0.43571,                0.88571,                0.75503,               0.007624,               0.007624,               0.007624
                      8,                0.16046,                0.50714,                0.86429,                0.72591,               0.007228,               0.007228,               0.007228
                      9,                  0.132,                0.46429,                0.92143,                 0.7375,               0.006832,               0.006832,               0.006832
                     10,                0.09956,                0.53571,                0.93571,                0.72192,               0.006436,               0.006436,               0.006436
                     11,                0.06952,                0.53571,                0.95714,                0.70134,                0.00604,                0.00604,                0.00604
                     12,                0.04138,                0.56429,                0.92857,                 0.7038,               0.005644,               0.005644,               0.005644
                     13,                0.03294,                0.55714,                0.95714,                0.70835,               0.005248,               0.005248,               0.005248
                     14,                0.03439,                0.57143,                0.94286,                0.69248,               0.004852,               0.004852,               0.004852
                     15,                 0.0209,                    0.6,                0.93571,                0.69159,               0.004456,               0.004456,               0.004456
                     16,                0.01495,                0.58571,                0.96429,                0.69589,                0.00406,                0.00406,                0.00406
                     17,                 0.0106,                0.59286,                0.97143,                0.68776,               0.003664,               0.003664,               0.003664
                     18,                0.00742,                   0.65,                0.96429,                 0.6747,               0.003268,               0.003268,               0.003268
                     19,                0.00524,                0.65714,                0.94286,                0.67247,               0.002872,               0.002872,               0.002872
                     20,                0.00344,                0.64286,                0.94286,                0.67282,               0.002476,               0.002476,               0.002476
                     21,                0.00291,                0.64286,                0.95714,                0.66777,                0.00208,                0.00208,                0.00208
                     22,                0.00187,                   0.65,                0.94286,                0.67119,               0.001684,               0.001684,               0.001684
                     23,                0.00205,                0.66429,                0.95714,                0.67065,               0.001288,               0.001288,               0.001288
                     24,                0.00138,                0.64286,                0.95714,                0.67094,               0.000892,               0.000892,               0.000892
